Sample,Type,Primer,Sequencer,Extraction,Solvent,Mock,Description,SRA_run
CV12dMRG,Cells,V12d,MiSeq,RBB,Glycerol,HM-281,16s MiSeq v1v2 Deg RBB Glycerol,SRR3225715
CV12dMQP,Cells,V12d,MiSeq,Qiagen,PBS,HM-280,16s MiSeq v1v2 Deg Q PBS,SRR3225729
CV12dMQG,Cells,V12d,MiSeq,Qiagen,Glycerol,HM-281,16s MiSeq v1v2 Deg Q Glycerol,SRR3225728
CV12dMRP,Cells,V12d,MiSeq,RBB,PBS,HM-280,16s MiSeq v1v2 Deg RBB PBS,SRR3225716
DV12dM,DNA,V12d,MiSeq,NA,NA,HM-782D,16s MiSeq v1v2 Deg Mock DNA,SRR3225727
CV12MQP,Cells,V12,MiSeq,Qiagen,PBS,HM-280,16s MiSeq v1v2 Q PBS,SRR3225725
CV12MQG,Cells,V12,MiSeq,Qiagen,Glycerol,HM-281,16s MiSeq v1v2 Q Glycerol,SRR3225724
CV45PQP,Cells,V45,PGM,Qiagen,PBS,HM-280,16s PGM v4v5 Q PBS,SRR3225723
CV45PQG,Cells,V45,PGM,Qiagen,Glycerol,HM-281,16s PGM v4v5 Q Glycerol,SRR3225722
CV45PRP,Cells,V45,PGM,RBB,PBS,HM-280,16s PGM v4v5 RBB PBS,SRR3225721
CV45PRG,Cells,V45,PGM,RBB,Glycerol,HM-281,16s PGM v4v5 RBB Glycerol,SRR3225720
DV45P,DNA,V45,PGM,NA,NA,HM-782D,16s PGM v4v5 Mock DNA,SRR3225719
CV12dPQP,Cells,V12d,PGM,Qiagen,PBS,HM-280,16s PGM v1v2 Deg Q PBS,SRR3225718
CV12dPQG,Cells,V12d,PGM,Qiagen,Glycerol,HM-281,16s PGM v1v2 Deg Q Glycerol,SRR3225717
CV12dPRP,Cells,V12d,PGM,RBB,PBS,HM-280,16s PGM v1v2 Deg RBB PBS,SRR3226033
CV12dPRG,Cells,V12d,PGM,RBB,Glycerol,HM-281,16s PGM v1v2 Deg RBB Glycerol,SRR3226032
CV12MRP,Cells,V12,MiSeq,RBB,PBS,HM-280,16s MiSeq v1v2 RBB PBS,SRR3225714
DV12dP,DNA,V12d,PGM,NA,NA,HM-782D,16s PGM v1v2 Deg Mock DNA,SRR3225713
CV12PQP,Cells,V12,PGM,Qiagen,PBS,HM-280,16s PGM v1v2 Q PBS,SRR3225712
CV12PQG,Cells,V12,PGM,Qiagen,Glycerol,HM-281,16s PGM v1v2 Q Glycerol,SRR3225711
CV12PRP,Cells,V12,PGM,RBB,PBS,HM-280,16s PGM v1v2 RBB PBS,SRR3225710
CV12PRG,Cells,V12,PGM,RBB,Glycerol,HM-281,16s PGM v1v2 RBB Glycerol,SRR3225709
DV12P,DNA,V12,PGM,NA,NA,HM-782D,16s PGM v1v2 Mock DNA,SRR3225708
CV45MQG,Cells,V45,MiSeq,Qiagen,Glycerol,HM-281,16s MiSeq v4v5 Q Glycerol,SRR3225706
CV45MRP,Cells,V45,MiSeq,RBB,PBS,HM-280,16s MiSeq v4v5 RBB PBS,SRR3225705
CV45MRG,Cells,V45,MiSeq,RBB,Glycerol,HM-281,16s MiSeq v4v5 RBB Glycerol,SRR3225704
DV45M,DNA,V45,MiSeq,NA,NA,HM-782D,16s MiSeq v4v5 Mock DNA,SRR3225703
CV12MRG,Cells,V12,MiSeq,RBB,Glycerol,HM-281,16s MiSeq v1v2 RBB Glycerol,SRR3225702
DV12M,DNA,V12,MiSeq,NA,NA,HM-782D,16s MiSeq v1v2 Mock DNA,SRR3225701
